Title,Author,Genre,Publisher,Year of Publication,ISBN,Description,Language,Image
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Political_Suicide__Missteps__Peccadilloes__Bad_Calls__Backroom_Hijinx__Sordid_Pasts__Rotten_Breaks__and_Just_Plain_Dumb_Mistakes_in_the_Annals_of_American_Politics.jpg
Patience,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Patience.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Outcast__Vol__1__A_Darkness_Surrounds_Him__Outcast__1_.jpg
orange: The Complete Collection 1 (orange: The Complete Collection #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\orange__The_Complete_Collection_1__orange__The_Complete_Collection__1_.jpg
Online Marketing for Busy Authors: A Step-By-Step Guide,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Online_Marketing_for_Busy_Authors__A_Step_By_Step_Guide.jpg
On a Midnight Clear,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\On_a_Midnight_Clear.jpg
Obsidian (Lux #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Obsidian__Lux__1_.jpg
My Paris Kitchen: Recipes and Stories,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\My_Paris_Kitchen__Recipes_and_Stories.jpg
Masks and Shadows,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Masks_and_Shadows.jpg
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Mama_Tried__Traditional_Italian_Cooking_for_the_Screwed__Crude__Vegan__and_Tattooed.jpg
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Lumberjanes__Vol__2__Friendship_to_the_Max__Lumberjanes__5_8_.jpg
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Lumberjanes__Vol__1__Beware_the_Kitten_Holy__Lumberjanes__1_4_.jpg
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Lumberjanes_Vol__3__A_Terrible_Plan__Lumberjanes__9_12_.jpg
"Layered: Baking, Building, and Styling Spectacular Cakes",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Layered__Baking__Building__and_Styling_Spectacular_Cakes.jpg
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Judo__Seven_Steps_to_Black_Belt__an_Introductory_Guide_for_Beginners_.jpg
Join,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Join.jpg
In the Country We Love: My Family Divided,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\In_the_Country_We_Love__My_Family_Divided.jpg
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Immunity__How_Elie_Metchnikoff_Changed_the_Course_of_Modern_Medicine.jpg
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\I_Hate_Fairyland__Vol__1__Madly_Ever_After__I_Hate_Fairyland__Compilations___1_5_.jpg
I am a Hero Omnibus Volume 1,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\I_am_a_Hero_Omnibus_Volume_1.jpg
How to Be Miserable: 40 Strategies You Already Use,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\How_to_Be_Miserable__40_Strategies_You_Already_Use.jpg
